,longitude,latitude,class
112,9.2113493,45.4468715,7
113,9.2298873,45.4631954,9
114,9.17582115,45.45199062,2
115,9.2299449,45.4631943,1
116,9.17305234,45.4732777,2
117,9.15892776,45.47587732,7
118,9.199616699999998,45.4834331,7
119,9.1955207,45.4848798,9
120,9.17158199,45.47628584,2
121,9.2299317,45.4631978,0
122,9.20308168,45.48234002,1
123,9.2276375,45.50167485,5
124,9.18103056,45.45824444,1
125,9.20994418,45.47972626,4
126,9.20994418,45.47972626,7
127,9.13060168,45.50994037,4
128,9.21173179,45.4584782,3
129,9.12364529,45.47824942,8
130,9.1889588,45.4976833,8
131,9.12399665,45.47807648,5
132,9.19368167,45.4572906,9
133,9.16900568,45.47855516,1
134,9.124,45.47808,2
135,9.18091652,45.46912103,6
136,9.106619,45.518004,3
137,9.10147053,45.51884926,8
138,9.19298328,45.50334048,2
139,9.16557217,45.45049826,3
140,9.19458499,45.45035244,3
141,9.19971602,45.45785819,8
142,9.19003687,45.46533586,4
143,9.12399665,45.47807648,7
144,9.20308168,45.48234002,2
145,9.096798800000002,45.5224376,4
146,9.21676667,45.48623056,3
147,9.20032975,45.47391654,6
148,9.19864891,45.4927446,5
149,9.20512844,45.44379596,7
150,9.18457031,45.46205707,3
151,9.1889663,45.4976877,1
152,9.13898124,45.48077421,0
153,9.22299,45.5229,6
154,9.17733432,45.45255446,8
155,9.1903,45.4642,5
156,9.20634272,45.44880973,8
157,9.17654514,45.45211566,4
158,9.1740138,45.46784388,4
159,9.15497678,45.44710851,0
160,9.18730405,45.48186876,4
161,9.14637557,45.44997527,0
162,9.0877566,45.47490934,8
163,9.2136106,45.4899717,7
164,9.19694444,45.47833333,8
165,9.2136414,45.489975,1
166,9.2136414,45.489975,1
167,9.2136414,45.489975,5
168,9.2136414,45.489975,3
169,9.2136251,45.4899666,0
170,9.2136251,45.4899666,5
171,9.2136251,45.4899666,7
172,9.18011722,45.48380101,0
173,9.20148812,45.47558938,7
174,9.1764164,45.45298118,4
175,9.12428094,45.47924272,3
176,9.19003687,45.46533586,9
177,9.19003687,45.46533586,4
178,9.17083,45.4625,9
179,9.17582115,45.45199062,1
